logL,rho_agn,rho_agn_nerr,rho_agn_perr,N_agn
24.75,-4.7,0.05,0.05,416
25.05,-4.77,0.03,0.03,472
25.35,-4.99,0.03,0.03,310
25.65,-5.34,0.04,0.03,148
25.95,-5.61,0.05,0.05,81
26.25,-5.79,0.06,0.06,54
26.55,-6.11,0.09,0.08,26
26.85,-6.19,0.09,0.09,22
27.15,-6.21,0.09,0.08,21
27.45,-6.63,0.2,0.14,8
27.75,-6.63,0.2,0.14,8
28.05,-7.23,0.3,0.18,2
