logL,rho_agn,rho_agn_nerr,rho_agn_perr,N_agn
23.25,-3.88,0.08,0.08,281
23.55,-4.02,0.05,0.05,507
23.85,-4.15,0.03,0.03,516
24.15,-4.39,0.03,0.03,321
24.45,-4.7,0.04,0.03,169
24.75,-4.9,0.04,0.04,109
25.05,-5.07,0.05,0.05,74
25.35,-5.19,0.06,0.05,57
25.65,-5.33,0.07,0.06,42
25.95,-5.57,0.1,0.08,24
26.25,-6.11,0.24,0.15,7
26.55,-6.11,0.24,0.11,7
26.85,-6.48,0.48,0.22,3
27.15,-6.65,0.3,0.18,2
27.45,-6.48,0.48,0.22,3
