logL,rho_agn,rho_agn_nerr,rho_agn_perr,N_agn
24.45,-4.72,0.06,0.06,316
24.75,-4.79,0.03,0.03,407
25.05,-4.95,0.03,0.03,304
25.35,-5.19,0.04,0.03,191
25.65,-5.53,0.05,0.05,88
25.95,-5.67,0.06,0.06,65
26.25,-5.87,0.06,0.07,41
26.55,-5.99,0.09,0.07,32
26.85,-6.12,0.1,0.08,24
27.15,-6.32,0.13,0.1,15
27.45,-6.8,0.22,0.15,5
27.75,-6.54,0.18,0.12,9
28.05,-7.2,0.3,0.18,2
