logL,rho_agn,rho_agn_nerr,rho_agn_perr,N_agn
24.15,-4.42,0.06,0.06,352
24.45,-4.53,0.03,0.03,454
24.75,-4.75,0.03,0.03,308
25.05,-5.05,0.03,0.03,165
25.35,-5.35,0.05,0.05,85
25.65,-5.44,0.05,0.05,71
25.95,-5.72,0.08,0.07,37
26.25,-5.79,0.09,0.06,32
26.55,-6.15,0.15,0.11,14
26.85,-6.12,0.13,0.1,15
27.15,-6.26,0.14,0.1,11
27.45,-6.82,0.48,0.22,3
28.05,-7.0,0.3,0.18,2
