logL,rho_agn,rho_agn_nerr,rho_agn_perr,N_agn
24.75,-4.86,0.08,0.08,171
25.05,-4.94,0.04,0.04,299
25.35,-5.07,0.03,0.03,254
25.65,-5.41,0.04,0.03,126
25.95,-5.77,0.05,0.06,57
26.25,-5.98,0.08,0.07,36
26.55,-6.36,0.13,0.08,15
26.85,-6.31,0.12,0.09,17
27.15,-6.59,0.18,0.12,9
27.45,-6.95,0.3,0.18,4
27.75,-7.25,0.3,0.18,2
28.05,-7.07,0.48,0.22,3
28.35,-7.25,0.3,0.3,2
