logL,rho_lerg,rho_lerg_nerr,rho_lerg_perr,N_lerg,rho_lerg_Q,rho_lerg_nerr_Q,rho_lerg_perr_Q,N_lerg_Q,rho_lerg_SF,rho_lerg_SF_nerr,rho_lerg_SF_perr,N_lerg_SF
23.55,-4.07,0.07,0.07,428,-4.26,0.07,0.07,279,-4.53,0.08,0.08,149
23.85,-4.22,0.05,0.05,756,-4.48,0.05,0.05,411,-4.56,0.05,0.05,345
24.15,-4.39,0.03,0.03,719,-4.69,0.03,0.03,361,-4.69,0.04,0.03,358
24.45,-4.7,0.03,0.03,387,-5.01,0.03,0.03,190,-4.99,0.03,0.03,197
24.75,-4.93,0.03,0.03,242,-5.15,0.04,0.03,144,-5.32,0.04,0.04,98
25.05,-5.15,0.04,0.03,151,-5.31,0.04,0.04,104,-5.65,0.07,0.05,47
25.35,-5.28,0.04,0.04,111,-5.42,0.05,0.04,82,-5.87,0.1,0.08,29
25.65,-5.41,0.05,0.04,83,-5.51,0.06,0.05,67,-6.13,0.12,0.1,16
25.95,-5.6,0.06,0.06,54,-5.72,0.07,0.06,41,-6.22,0.15,0.11,13
26.25,-5.88,0.1,0.07,29,-5.94,0.08,0.07,25,-6.74,0.48,0.22,4
26.55,-6.06,0.1,0.09,19,-6.2,0.15,0.11,14,-6.64,0.22,0.15,5
26.85,-6.74,0.3,0.18,4,-6.86,0.48,0.22,3,nan,nan,nan,0
27.15,-6.86,0.48,0.22,3,-7.04,0.3,0.18,2,nan,nan,nan,0
27.45,-6.74,0.3,0.18,4,nan,nan,nan,0,-6.86,0.48,0.22,3
