logL,rho_lerg,rho_lerg_nerr,rho_lerg_perr,N_lerg,rho_lerg_Q,rho_lerg_nerr_Q,rho_lerg_perr_Q,N_lerg_Q,rho_lerg_SF,rho_lerg_SF_nerr,rho_lerg_SF_perr,N_lerg_SF
24.75,-4.9,0.07,0.07,210,-5.84,0.12,0.11,23,-4.95,0.07,0.08,187
25.05,-4.98,0.04,0.04,344,-6.23,0.09,0.08,19,-5.0,0.04,0.04,325
25.35,-5.14,0.03,0.03,269,-6.67,0.18,0.13,8,-5.16,0.03,0.03,261
25.65,-5.54,0.04,0.04,115,-6.9,0.3,0.13,5,-5.56,0.04,0.04,110
25.95,-5.92,0.07,0.06,50,-7.02,0.3,0.18,4,-5.96,0.06,0.06,46
26.25,-6.06,0.08,0.07,37,-7.15,0.24,0.15,3,-6.1,0.09,0.07,34
26.55,-6.55,0.12,0.1,12,-7.33,0.3,0.18,2,-6.63,0.15,0.11,10
26.85,-6.46,0.13,0.1,15,nan,nan,nan,0,-6.46,0.1,0.11,15
27.15,-6.74,0.2,0.14,8,nan,nan,nan,0,-6.8,0.24,0.15,7
27.45,-7.17,0.48,0.22,3,nan,nan,nan,0,-7.17,0.48,0.22,3
27.75,-7.17,0.48,0.22,3,nan,nan,nan,0,-7.17,0.48,0.22,3
28.05,-7.17,0.48,0.22,3,nan,nan,nan,0,-7.17,0.48,0.22,3
